,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg9325,Not Included in Pathway or Brite,Unclassified: metabolism,ko99987 Cofactor metabolism,K18587 ubiquinone biosynthesis protein COQ9,K18587,2,1,0,1,2,1,0,1,1,0,1,0,1,2,2,1,2,2,1,0,3,1,1,2
kegg9326,Not Included in Pathway or Brite,Unclassified: metabolism,ko99987 Cofactor metabolism,K18588 coenzyme Q-binding protein COQ10,K18588,1,2,1,1,1,1,1,3,2,1,1,1,2,3,2,1,2,3,1,4,1,2,1,2
kegg9327,Not Included in Pathway or Brite,-,Unclassified: metabolism,ko99988 Secondary metabolism,ko99988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9328,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,K03932 polyhydroxybutyrate depolymerase,K03932,2,5,1,2,1,4,3,1,2,4,2,2,3,4,5,2,1,4,4,2,4,3,3,1
kegg9329,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,K04753 suppressor of ftsI,K04753,1,1,1,2,2,1,1,0,0,1,4,1,1,2,1,0,1,1,3,2,1,2,0,1
kegg9330,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,K05558 pyridoxamine 5'-phosphate oxidase family protein,K05558,2,2,1,3,0,0,1,1,1,2,1,2,0,1,2,0,2,1,1,1,1,3,2,2
kegg9331,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,K06219 S-adenosylmethionine-dependent methyltransferase,K06219,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,2,0,0,1,1
kegg9332,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,K14588 blue copper oxidase,K14588,2,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0
kegg9333,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,"K19784 chromate reductase, NAD(P)H dehydrogenase (quinone)",K19784,13,11,11,13,9,7,7,10,12,12,8,10,17,12,12,18,9,8,9,6,13,7,14,13
kegg9334,Not Included in Pathway or Brite,Unclassified: metabolism,ko99988 Secondary metabolism,"K22895 renierapurpurin 18,18'-hydroxylase",K22895,1,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,1,1,0,1,1,1,0,0
kegg9335,Not Included in Pathway or Brite,-,Unclassified: metabolism,ko99999 Others,ko99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9336,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K06999 phospholipase/carboxylesterase,K06999,10,10,8,7,12,10,8,10,9,9,13,9,12,11,12,11,10,8,10,11,11,13,13,12
kegg9337,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K09181 acetyltransferase,K09181,10,8,8,6,7,11,7,10,9,7,9,11,7,7,7,11,7,10,9,11,5,9,9,10
kegg9338,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K15975 glyoxalase family protein,K15975,11,13,9,12,10,8,9,11,9,11,13,11,5,5,8,6,5,10,7,5,5,7,8,5
kegg9339,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K15977 putative oxidoreductase,K15977,16,16,20,14,12,19,10,17,16,22,17,15,27,22,23,23,36,22,17,26,21,14,24,29
kegg9340,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K21831 cholinesterase,K21831,2,1,0,3,1,1,1,2,1,1,1,1,1,2,2,0,0,2,2,1,1,1,1,2
kegg9341,Not Included in Pathway or Brite,Unclassified: metabolism,ko99999 Others,K22390 acid phosphatase type 7,K22390,4,9,9,7,7,4,10,7,8,8,8,4,7,8,3,7,4,4,6,5,7,5,9,3
kegg9342,Not Included in Pathway or Brite,-,-,Unclassified: genetic information processing,Unclassified:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9343,Not Included in Pathway or Brite,-,Unclassified: genetic information processing,ko99973 Transcription,ko99973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9344,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K02466 glucitol operon activator protein,K02466,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
kegg9345,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K03622 archaea-specific DNA-binding protein,K03622,5,3,3,4,1,0,0,1,2,3,2,3,0,3,2,1,0,1,0,1,1,3,3,2
kegg9346,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K03627 putative transcription factor,K03627,2,1,3,3,1,2,1,2,2,1,2,3,0,0,2,2,0,2,2,2,1,2,1,2
kegg9347,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K03704 cold shock protein,K03704,31,36,21,28,34,26,31,29,34,39,37,32,30,23,37,25,28,30,32,33,31,34,36,28
kegg9348,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K04752 nitrogen regulatory protein P-II 2,K04752,5,1,3,3,3,4,3,4,2,3,1,2,7,5,5,4,3,5,3,4,5,5,5,4
kegg9349,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K04796 small nuclear ribonucleoprotein,K04796,1,4,3,5,4,3,2,3,4,2,3,3,2,2,4,1,1,3,3,4,1,0,3,2
kegg9350,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K06959 protein Tex,K06959,1,0,1,2,0,2,1,2,2,3,3,6,6,3,5,6,11,5,3,5,5,5,9,5
kegg9351,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K07741 anti-repressor protein,K07741,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
kegg9352,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99973 Transcription,K07743 transcriptional regulator,K07743,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1
kegg9353,Not Included in Pathway or Brite,-,Unclassified: genetic information processing,ko99974 Translation,ko99974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9354,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07571 S1 RNA binding domain protein,K07571,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
kegg9355,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07572 putative nucleotide binding protein,K07572,4,3,3,3,3,1,3,2,3,3,4,2,2,2,1,4,1,2,1,2,2,3,1,2
kegg9356,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07575 PUA domain protein,K07575,3,3,3,2,4,1,1,3,2,2,2,2,1,2,2,1,1,1,1,2,2,3,2,1
kegg9357,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07576 metallo-beta-lactamase family protein,K07576,9,5,11,5,7,6,9,7,7,7,2,6,10,9,9,13,9,8,7,7,9,7,8,7
kegg9358,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07577 putative mRNA 3-end processing factor,K07577,12,9,11,12,6,6,12,4,9,11,7,8,10,12,12,9,7,13,10,11,9,7,9,7
kegg9359,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K07581 RNA-binding protein,K07581,2,2,3,2,3,1,1,1,2,2,2,2,1,1,2,0,0,1,1,2,1,3,1,1
kegg9360,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99974 Translation,K13926 ribosome-dependent ATPase,K13926,2,2,2,1,5,2,1,1,3,2,2,1,2,2,3,1,4,3,2,4,2,3,1,2
kegg9361,Not Included in Pathway or Brite,-,Unclassified: genetic information processing,ko99975 Protein processing,ko99975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9362,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K02380 FdhE protein,K02380,2,2,1,1,3,1,1,1,1,1,2,1,0,2,1,1,2,3,0,2,1,1,2,1
kegg9363,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03187 urease accessory protein,K03187,4,5,5,5,5,1,3,2,4,3,3,3,3,6,5,5,2,2,3,4,5,6,9,6
kegg9364,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03188 urease accessory protein,K03188,7,6,5,6,7,3,4,7,7,4,4,3,5,6,4,7,4,6,4,7,6,8,9,4
kegg9365,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03189 urease accessory protein,K03189,8,8,9,5,9,5,7,6,4,8,3,6,6,8,5,6,7,5,6,6,9,8,8,9
kegg9366,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03190 urease accessory protein,K03190,9,7,9,6,5,6,4,5,8,7,6,8,7,5,4,5,6,6,6,7,7,7,6,10
kegg9367,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03192 urease accessory protein,K03192,0,1,0,1,1,0,0,1,2,2,1,1,1,2,1,3,2,2,2,1,1,1,2,3
kegg9368,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03545 trigger factor,K03545,10,12,10,9,10,10,11,9,9,8,14,12,10,10,9,8,9,10,6,11,7,10,10,12
kegg9369,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03664 SsrA-binding protein,K03664,9,7,8,9,8,7,4,4,8,10,5,8,10,10,12,11,9,8,6,5,6,9,7,10
kegg9370,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K03668 heat shock protein HslJ,K03668,2,1,0,2,1,1,0,1,2,1,2,1,1,0,2,1,4,1,1,2,2,1,2,2
kegg9371,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K04653 hydrogenase expression/formation protein HypC,K04653,2,6,2,2,3,4,5,5,6,3,4,3,1,2,1,1,4,2,3,2,2,2,2,2
kegg9372,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K04654 hydrogenase expression/formation protein HypD,K04654,1,3,3,4,3,5,5,6,5,2,1,4,0,2,2,1,3,2,4,3,1,1,1,1
kegg9373,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K04655 hydrogenase expression/formation protein HypE,K04655,5,4,3,2,4,7,6,8,2,5,2,4,2,3,2,2,3,3,6,4,4,5,2,4
kegg9374,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K04656 hydrogenase maturation protein HypF,K04656,3,5,3,2,2,4,7,7,7,5,6,4,0,2,1,1,6,3,3,4,4,3,1,2
kegg9375,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K06191 glutaredoxin-like protein NrdH,K06191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,2,0,2
kegg9376,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K06891 ATP-dependent Clp protease adaptor protein ClpS,K06891,7,7,6,7,6,8,6,6,6,8,6,8,10,7,5,6,9,11,9,9,7,7,9,10
kegg9377,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07391 magnesium chelatase family protein,K07391,5,7,9,8,7,10,10,10,11,11,15,13,10,12,10,11,11,8,9,14,13,13,12,14
kegg9378,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07394 SM-20-related protein,K07394,0,1,0,1,2,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,1,2
kegg9379,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07395 putative proteasome-type protease,K07395,4,3,2,2,2,2,4,1,2,3,4,2,5,5,5,4,6,5,3,4,3,3,5,4
kegg9380,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07396 putative protein-disulfide isomerase,K07396,1,1,0,1,1,1,2,0,1,1,2,1,0,1,0,2,2,1,0,0,0,1,2,2
kegg9381,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07397 putative redox protein,K07397,10,6,3,7,7,6,7,8,9,6,3,7,10,5,7,9,10,8,8,4,8,9,10,11
kegg9382,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07398 conserved protein with predicted RNA binding PUA domain,K07398,1,0,1,1,1,0,0,1,0,2,0,1,0,1,2,0,0,0,1,1,0,0,1,1
kegg9383,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07399 cytochrome c biogenesis protein,K07399,5,4,3,3,5,4,6,5,2,3,3,3,4,5,4,6,7,6,3,4,4,9,6,7
kegg9384,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07400 Fe/S biogenesis protein NfuA,K07400,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,1,1,0,0,0,1,0,0,0
kegg9385,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07401 selenoprotein W-related protein,K07401,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,2,1,1,0,1,1,1,1
kegg9386,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07402 xanthine dehydrogenase accessory factor,K07402,15,17,17,14,8,13,16,12,14,13,17,14,13,13,9,12,16,12,12,17,10,13,14,11
kegg9387,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K07403 membrane-bound serine protease (ClpP class),K07403,5,7,9,5,13,7,10,8,7,8,13,5,7,6,3,6,2,8,9,7,8,8,8,10
kegg9388,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K11208 GST-like protein,K11208,1,1,1,1,1,0,0,0,2,2,0,1,2,3,2,3,2,3,1,2,4,4,3,1
kegg9389,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99975 Protein processing,K17247 methionine sulfoxide reductase heme-binding subunit,K17247,5,4,2,5,2,6,2,2,5,3,3,5,4,3,2,5,4,2,4,4,5,5,5,2
kegg9390,Not Included in Pathway or Brite,-,Unclassified: genetic information processing,ko99976 Replication and repair,ko99976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9391,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K01146 protein Xni,K01146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
kegg9392,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K03630 DNA repair protein RadC,K03630,5,5,8,7,6,8,10,4,5,4,9,5,11,9,10,5,10,6,8,9,13,9,7,12
kegg9393,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K04096 DNA processing protein,K04096,6,8,6,5,7,9,4,5,6,7,7,4,10,11,8,6,7,10,6,10,9,9,9,11
kegg9394,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K06909 phage terminase large subunit,K06909,0,1,0,2,0,0,1,1,1,0,0,1,3,4,4,3,0,4,0,1,6,4,5,7
kegg9395,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K06919 putative DNA primase/helicase,K06919,2,4,2,1,4,1,1,4,4,4,3,3,14,8,15,7,4,6,6,6,11,8,11,12
kegg9396,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07357 type 1 fimbriae regulatory protein FimB,K07357,2,3,4,3,2,4,6,3,2,2,5,4,1,2,2,1,3,4,3,5,0,5,2,1
kegg9397,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07358 type 1 fimbriae regulatory protein FimE,K07358,0,1,3,0,2,1,0,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,0
kegg9398,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07443 methylated-DNA-protein-cysteine methyltransferase related protein,K07443,3,2,3,3,4,3,3,2,3,2,3,3,2,1,2,3,3,2,3,3,2,2,2,3
kegg9399,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07445 putative DNA methylase,K07445,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
kegg9400,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07454 putative restriction endonuclease,K07454,1,3,3,1,1,1,1,0,2,1,1,4,2,2,2,2,0,1,2,2,3,0,1,2
kegg9401,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07459 putative ATP-dependent endonuclease of the OLD family,K07459,3,2,5,3,1,3,1,2,3,2,1,4,1,1,1,1,3,1,4,1,2,3,2,4
kegg9402,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07460 putative endonuclease,K07460,7,5,3,4,3,6,7,3,7,5,5,5,7,7,10,4,7,6,4,2,6,3,8,7
kegg9403,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07461 putative endonuclease,K07461,4,4,3,3,2,2,1,3,3,3,4,3,9,4,7,6,3,3,3,4,10,2,6,4
kegg9404,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07465 putative RecB family exonuclease,K07465,2,1,1,1,2,1,1,2,2,1,3,1,1,2,2,2,4,1,2,2,2,0,0,1
kegg9405,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07474 phage terminase small subunit,K07474,1,1,0,0,0,0,0,0,0,1,0,1,3,3,4,2,0,1,1,1,2,2,2,1
kegg9406,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07477 translin,K07477,5,4,4,4,3,1,2,3,2,3,2,2,1,3,2,1,1,2,4,2,3,2,3,1
kegg9407,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07478 putative ATPase,K07478,6,8,8,8,8,10,10,7,9,11,7,12,13,12,12,11,16,10,6,12,11,10,11,15
kegg9408,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07480 insertion element IS1 protein InsB,K07480,12,9,27,14,21,21,25,24,14,13,17,18,9,6,16,6,11,16,15,23,9,20,9,11
kegg9409,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,"K07481 transposase, IS5 family",K07481,37,35,39,40,48,40,37,38,25,33,35,31,29,29,28,24,20,35,32,30,24,29,25,37
kegg9410,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,"K07482 transposase, IS30 family",K07482,5,7,9,6,6,6,3,3,7,4,10,9,6,8,9,4,4,5,5,6,8,7,5,6
kegg9411,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07483 transposase,K07483,83,80,87,83,98,93,99,93,83,78,80,79,61,66,81,62,59,66,69,84,63,77,64,66
kegg9412,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07484 transposase,K07484,55,51,61,57,85,88,84,89,67,71,61,56,56,54,70,60,55,83,74,85,46,80,69,67
kegg9413,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07485 transposase,K07485,17,28,29,19,26,28,32,29,17,18,22,20,16,22,23,16,12,25,21,24,18,24,12,17
kegg9414,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07486 transposase,K07486,191,200,216,192,244,236,237,224,193,183,198,214,127,144,163,148,125,188,179,198,150,184,129,145
kegg9415,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07487 transposase,K07487,16,14,14,11,21,22,20,16,12,12,15,12,9,7,9,8,8,11,9,13,7,6,7,8
kegg9416,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07488 transposase,K07488,8,7,6,7,10,7,7,7,5,5,8,5,2,5,8,6,6,8,4,6,5,7,4,5
kegg9417,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07491 putative transposase,K07491,12,9,13,10,11,12,5,8,9,8,8,10,13,11,9,9,10,8,15,9,13,16,19,12
kegg9418,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07492 putative transposase,K07492,11,10,14,14,17,17,16,14,10,11,10,10,4,8,9,6,9,15,12,13,10,8,6,6
kegg9419,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07493 putative transposase,K07493,81,80,91,84,81,89,90,83,79,74,75,73,56,57,68,49,40,65,62,67,49,82,52,63
kegg9420,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07494 putative transposase,K07494,2,2,3,4,5,3,5,7,0,2,1,4,2,4,6,3,3,2,4,4,2,2,2,3
kegg9421,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07495 putative transposase,K07495,2,1,3,3,3,2,1,4,3,1,4,3,0,3,2,3,2,1,3,3,3,3,2,3
kegg9422,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07496 putative transposase,K07496,4,10,6,6,7,11,6,7,4,8,8,8,3,5,5,6,7,8,6,8,4,10,5,4
kegg9423,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07497 putative transposase,K07497,163,176,200,157,219,213,188,202,172,153,167,163,120,126,160,126,129,174,172,178,139,180,130,128
kegg9424,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07498 putative transposase,K07498,7,10,14,9,11,7,7,14,9,6,7,10,7,8,8,4,7,5,10,11,7,12,24,7
kegg9425,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K07501 3'-5' exonuclease,K07501,4,2,4,3,1,0,1,1,3,2,1,2,2,1,3,2,3,1,3,3,3,3,1,3
kegg9426,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K09760 DNA recombination protein RmuC,K09760,7,8,7,5,4,4,4,7,6,9,5,7,9,6,8,13,9,11,6,9,7,9,10,9
kegg9427,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K14059 integrase,K14059,8,8,11,11,6,8,7,10,9,11,8,10,7,7,8,8,6,7,6,4,3,8,5,5
kegg9428,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,K14060 putative DNA-invertase from lambdoid prophage Rac,K14060,2,4,5,5,3,3,1,3,5,3,5,3,2,4,3,1,2,4,1,5,3,5,4,3
kegg9429,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99976 Replication and repair,"K18320 transposase, IS6 family",K18320,7,9,5,5,7,9,8,6,5,6,4,8,2,3,5,4,4,11,4,7,3,8,6,4
kegg9430,Not Included in Pathway or Brite,-,Unclassified: genetic information processing,ko99998 Others,ko99998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9431,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99998 Others,K03969 phage shock protein A,K03969,9,8,9,7,8,10,12,10,13,10,7,9,8,8,6,5,4,9,8,9,7,9,4,10
kegg9432,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99998 Others,K03972 phage shock protein E,K03972,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,3,1,1,0,2,2,1,1,3
kegg9433,Not Included in Pathway or Brite,Unclassified: genetic information processing,ko99998 Others,K07504 predicted type IV restriction endonuclease,K07504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
kegg9434,Not Included in Pathway or Brite,-,-,Unclassified: signaling and cellular processes,Unclassified:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9435,Not Included in Pathway or Brite,-,Unclassified: signaling and cellular processes,ko99977 Transport,ko99977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg9436,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03281 chloride channel protein, CIC family",K03281,5,2,2,1,3,0,1,1,3,2,1,2,1,4,2,2,3,2,3,2,4,3,3,2
kegg9437,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03285 general bacterial porin, GBP family",K03285,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0
kegg9438,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03292 glycoside/pentoside/hexuronide:cation symporter, GPH family",K03292,1,2,1,2,0,1,0,1,1,1,2,2,4,3,4,7,9,0,1,5,3,2,4,6
kegg9439,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03293 amino acid transporter, AAT family",K03293,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,1,4,0,1,1,0,1,1,1
kegg9440,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03294 basic amino acid/polyamine antiporter, APA family",K03294,44,37,36,39,37,32,34,39,45,49,49,37,40,35,36,35,42,33,37,40,38,39,38,31
kegg9441,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03296 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family",K03296,9,9,9,10,6,7,9,10,6,8,9,5,7,7,5,9,11,7,6,6,7,5,8,5
kegg9442,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03300 citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family",K03300,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,2,1,0,0,0,1,1
kegg9443,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03301 ATP:ADP antiporter, AAA family",K03301,4,4,6,8,4,7,6,7,4,3,6,5,9,6,1,5,7,3,2,6,5,3,3,2
kegg9444,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03305 proton-dependent oligopeptide transporter, POT family",K03305,5,4,4,6,4,5,2,3,9,7,9,6,21,13,15,6,15,8,2,6,10,7,10,8
kegg9445,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03306 inorganic phosphate transporter, PiT family",K03306,14,12,13,15,9,12,12,9,17,14,15,14,11,13,13,12,14,13,9,12,11,10,12,15
kegg9446,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03307 solute:Na+ symporter, SSS family",K03307,14,9,6,11,9,14,10,13,11,8,14,8,13,17,20,18,24,5,11,16,16,13,20,19
kegg9447,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,ko99977 Transport,"K03308 neurotransmitter:Na+ symporter, NSS family",K03308,3,2,3,3,2,1,1,1,2,2,1,2,0,2,2,2,2,1,1,1,1,1,1,1
